7.576 ACK: 0 | Send ACK
7.578 ACK: 1 | DATA Corrupted
7.578 ACK: 1 | Send ACK
7.579 ACK: 0 | Send ACK
7.579 ACK: 1 | Send ACK
7.579 ACK: 0 | Send ACK
7.580 ACK: 1 | Send ACK
7.580 ACK: 0 | Send ACK
7.580 ACK: 1 | Send ACK
7.581 ACK: 0 | Send ACK
7.581 ACK: 1 | Send ACK
7.581 ACK: 0 | Send ACK
7.582 ACK: 1 | Send ACK
7.582 ACK: 0 | Send ACK
7.582 ACK: 1 | Send ACK
7.582 ACK: 0 | Send ACK
7.583 ACK: 1 | Send ACK
7.583 ACK: 0 | Send ACK
7.583 ACK: 1 | DATA Corrupted
7.584 ACK: 1 | Send ACK
7.584 ACK: 0 | Send ACK
7.584 ACK: 1 | Send ACK
7.585 ACK: 0 | Send ACK
7.585 ACK: 1 | Send ACK
7.585 ACK: 0 | Send ACK
7.586 ACK: 1 | DATA Corrupted
7.586 ACK: 1 | Send ACK
7.586 ACK: 0 | Send ACK
7.587 ACK: 1 | Send ACK
7.587 ACK: 0 | Send ACK
7.587 ACK: 1 | Send ACK
7.587 ACK: 0 | Send ACK
7.588 ACK: 1 | Send ACK
7.588 ACK: 0 | Send ACK
7.589 ACK: 1 | Send ACK
7.589 ACK: 0 | Send ACK
7.589 ACK: 1 | Send ACK
7.589 ACK: 0 | Send ACK
7.590 ACK: 1 | Send ACK
7.590 ACK: 0 | Send ACK
7.590 ACK: 1 | Send ACK
7.590 ACK: 0 | Send ACK
7.591 ACK: 1 | Send ACK
7.591 ACK: 0 | Send ACK
7.592 ACK: 1 | Send ACK
7.592 ACK: 0 | Send ACK
7.592 ACK: 1 | Send ACK
7.593 ACK: 0 | DATA Corrupted
7.593 ACK: 0 | Send ACK
7.593 ACK: 1 | Send ACK
7.594 ACK: 0 | Send ACK
7.595 ACK: 1 | Send ACK
7.596 ACK: 0 | DATA Corrupted
7.596 ACK: 0 | Send ACK
7.596 ACK: 1 | Send ACK
7.596 ACK: 0 | Send ACK
7.597 ACK: 1 | DATA Corrupted
7.597 ACK: 1 | Send ACK
7.598 ACK: 0 | Send ACK
7.598 ACK: 1 | Send ACK
7.598 ACK: 0 | Send ACK
7.598 ACK: 1 | Send ACK
7.599 ACK: 0 | Send ACK
7.599 ACK: 1 | Send ACK
7.599 ACK: 0 | Send ACK
7.600 ACK: 1 | DATA Corrupted
7.600 ACK: 1 | Send ACK
7.600 ACK: 0 | Send ACK
7.601 ACK: 1 | Send ACK
7.601 ACK: 0 | Send ACK
7.602 ACK: 1 | DATA Corrupted
7.602 ACK: 1 | Send ACK
7.602 ACK: 0 | DATA Corrupted
7.603 ACK: 0 | Send ACK
7.603 ACK: 1 | Send ACK
7.603 ACK: 0 | Send ACK
7.603 ACK: 1 | Send ACK
7.604 ACK: 0 | Send ACK
7.604 ACK: 1 | Send ACK
7.604 ACK: 0 | Send ACK
7.605 ACK: 1 | Send ACK
7.605 ACK: 0 | Send ACK
7.605 ACK: 1 | Send ACK
7.606 ACK: 0 | DATA Corrupted
7.606 ACK: 0 | Send ACK
7.606 ACK: 1 | Send ACK
7.606 ACK: 0 | Send ACK
7.607 ACK: 1 | Send ACK
7.607 ACK: 0 | Send ACK
7.607 ACK: 1 | Send ACK
7.608 ACK: 0 | Send ACK
7.608 ACK: 1 | Send ACK
7.608 ACK: 0 | Send ACK
7.608 ACK: 1 | Send ACK
7.609 ACK: 0 | Send ACK
7.609 ACK: 1 | DATA Corrupted
7.610 ACK: 1 | DATA Corrupted
7.610 ACK: 1 | Send ACK
7.611 ACK: 0 | Send ACK
7.611 ACK: 1 | Send ACK
7.611 ACK: 0 | Send ACK
7.612 ACK: 1 | Send ACK
7.612 ACK: 0 | Send ACK
7.613 ACK: 1 | Send ACK
7.614 ACK: 0 | DATA Corrupted
7.614 ACK: 0 | Send ACK
7.614 ACK: 1 | Send ACK
7.615 ACK: 0 | Send ACK
7.615 ACK: 1 | Send ACK
7.615 ACK: 0 | Send ACK
7.616 ACK: 1 | Send ACK
7.616 ACK: 0 | Send ACK
7.616 ACK: 1 | Send ACK
7.617 ACK: 0 | Send ACK
7.617 ACK: 1 | Send ACK
7.617 ACK: 0 | Send ACK
7.618 ACK: 1 | Send ACK
7.618 ACK: 0 | Send ACK
7.618 ACK: 1 | Send ACK
7.618 ACK: 0 | Send ACK
7.619 ACK: 1 | Send ACK
7.619 ACK: 0 | Send ACK
