0.146 pkt: 0 | Send DATA
0.160 pkt: 1 | Send DATA
0.165 pkt: 2 | Send DATA
0.168 pkt: 3 | Send DATA
0.171 pkt: 4 | Send DATA
0.174 pkt: 5 | Send DATA
0.187 pkt: 6 | Send DATA
0.195 pkt: 7 | Send DATA
0.201 pkt: 8 | Send DATA
0.205 pkt: 9 | Send DATA
0.212 pkt: 10 | Send DATA
0.218 pkt: 11 | Send DATA
0.232 pkt: 12 | Send DATA
0.243 pkt: 13 | Send DATA
0.250 pkt: 14 | Send DATA
0.256 pkt: 15 | Send DATA
0.266 pkt: 16 | Send DATA
0.278 pkt: 17 | Send DATA
0.287 pkt: 18 | Send DATA
0.301 pkt: 19 | Send DATA
0.312 pkt: 20 | Send DATA
0.320 pkt: 21 | Send DATA
0.326 pkt: 22 | Send DATA
0.336 pkt: 23 | Send DATA
0.342 pkt: 24 | Send DATA
0.351 pkt: 25 | Send DATA
0.357 pkt: 26 | Send DATA
0.361 pkt: 27 | Send DATA
0.370 pkt: 28 | Send DATA
0.374 pkt: 29 | Send DATA
0.378 pkt: 30 | Send DATA
0.385 pkt: 31 | Send DATA
0.390 pkt: 32 | Send DATA
0.398 pkt: 33 | Send DATA
0.406 pkt: 34 | Send DATA
0.420 pkt: 35 | Send DATA
0.430 pkt: 36 | Send DATA
0.434 pkt: 37 | Send DATA
0.438 pkt: 38 | Send DATA
0.449 pkt: 39 | Send DATA
0.454 pkt: 40 | Send DATA
0.467 pkt: 41 | Send DATA
0.476 pkt: 42 | Send DATA
0.496 pkt: 43 | Send DATA
0.505 pkt: 44 | Send DATA
0.511 pkt: 45 | Send DATA
0.523 pkt: 46 | Send DATA
0.544 pkt: 47 | Send DATA
0.559 pkt: 48 | Send DATA
0.573 pkt: 49 | Send DATA
0.589 pkt: 50 | Send DATA
0.604 pkt: 51 | Send DATA
0.623 pkt: 52 | Send DATA
0.641 pkt: 53 | Send DATA
0.651 pkt: 54 | Send DATA
0.661 pkt: 55 | Send DATA
0.680 pkt: 56 | Send DATA
0.687 pkt: 57 | Send DATA
0.696 pkt: 58 | Send DATA
0.703 pkt: 59 | Send DATA
0.710 pkt: 60 | Send DATA
0.720 pkt: 61 | Send DATA
0.727 pkt: 62 | Send DATA
0.736 pkt: 63 | Send DATA
0.747 pkt: 64 | Send DATA
0.759 pkt: 65 | Send DATA
0.760 pkt: 66 | Send DATA
0.770 pkt: 67 | Send DATA
0.776 pkt: 68 | Send DATA
